x-axis,NO_LBL,2
second,Volt,Volt
-2.940000E-06,-1.531127554586E+00,-48.902628458E-03
-2.935000E-06,-1.537327466103E+00,-59.670416516E-03
-2.930000E-06,-1.529539034108E+00,-42.008143505E-03
-2.925000E-06,-1.535733442232E+00,-65.038003916E-03
-2.920000E-06,-1.530949862840E+00,-39.796759557E-03
-2.915000E-06,-1.535333277707E+00,-64.420809694E-03
-2.910000E-06,-1.535799859893E+00,-41.796481501E-03
-2.905000E-06,-1.533892821119E+00,-57.427715999E-03
-2.900000E-06,-1.532540795764E+00,-49.536347938E-03
-2.895000E-06,-1.531338342078E+00,-48.871688835E-03
-2.890000E-06,-1.526765399401E+00,-61.807497120E-03
-2.885000E-06,-1.521391298396E+00,-40.528424354E-03
-2.880000E-06,-1.539125944795E+00,-67.521240403E-03
-2.875000E-06,-1.535594575794E+00,-38.516986968E-03
-2.870000E-06,-1.541272871195E+00,-67.552119715E-03
-2.865000E-06,-1.526461657338E+00,-38.036683994E-03
-2.860000E-06,-1.534404485895E+00,-61.721418021E-03
-2.855000E-06,-1.534068854308E+00,-48.710477114E-03
-2.850000E-06,-1.524969634711E+00,-51.631406742E-03
-2.845000E-06,-1.527933098783E+00,-60.669908082E-03
-2.840000E-06,-1.528897549567E+00,-39.997173530E-03
-2.835000E-06,-1.541160240110E+00,-66.955521753E-03
-2.830000E-06,-1.527069593798E+00,-36.365763398E-03
-2.825000E-06,-1.537985988545E+00,-67.247759463E-03
-2.820000E-06,-1.537339076001E+00,-38.610876361E-03
-2.815000E-06,-1.538403266360E+00,-61.112019016E-03
-2.810000E-06,-1.530656373674E+00,-46.958769723E-03
-2.805000E-06,-1.523331809862E+00,-53.029886766E-03
-2.800000E-06,-1.532540795764E+00,-56.589089366E-03
-2.795000E-06,-1.525076611625E+00,-43.812713624E-03
-2.790000E-06,-1.537327315325E+00,-64.478542549E-03
-2.785000E-06,-1.535148800957E+00,-37.773983673E-03
-2.780000E-06,-1.530182931094E+00,-66.969679797E-03
-2.775000E-06,-1.539415739903E+00,-40.265950200E-03
-2.770000E-06,-1.530899276858E+00,-61.772486493E-03
-2.765000E-06,-1.529903841217E+00,-47.051256882E-03
-2.760000E-06,-1.534660959088E+00,-53.893346518E-03
-2.755000E-06,-1.539752351546E+00,-53.558091876E-03
-2.750000E-06,-1.527719144955E+00,-45.034195480E-03
-2.745000E-06,-1.540013423466E+00,-62.965215005E-03
-2.740000E-06,-1.532297515636E+00,-41.318998074E-03
-2.735000E-06,-1.528903731461E+00,-62.349423018E-03
-2.730000E-06,-1.537649226124E+00,-43.142430507E-03
-2.725000E-06,-1.531322962733E+00,-59.755590947E-03
-2.720000E-06,-1.541390402562E+00,-49.462300915E-03
-2.715000E-06,-1.535114875931E+00,-53.499816221E-03
-2.710000E-06,-1.527517253358E+00,-54.912740766E-03
-2.705000E-06,-1.530639938884E+00,-46.754616458E-03
-2.700000E-06,-1.535207453557E+00,-60.108079502E-03
